JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
Workforce Data Analyst,Analyst,30–39 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,"Exploring what the software can do, trying to write calculated fields to produce stats not in the data, explaining to others why some graphs are better than others at communicating certain data types",480
Professor,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Explaining visualisation,481
Director of Operations,"Leadership (Manager, Director, VP, etc.)",60–69 hours,11–20 hours,6–10 hours,6–10 hours,11–20 hours,5 hours or less,Explaining to others,482
,,50–59 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,11–20 hours,Explaining,483
Senior Associate Data Stewardship & Analysis,Designer,30–39 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,"Evangelizing about dataviz: writing blogs, networking, etc.",484
"Director, Business Intelligence","Leadership (Manager, Director, VP, etc.)",50–59 hours,11–20 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,Evangelism,485
Data Engineer,Engineer,50–59 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,ETL processes and data modeling,486
Director of Donor Relations,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,ETL,487
,Analyst,40–49 hours,5 hours or less,6–10 hours,11–20 hours,11–20 hours,5 hours or less,Enhancing existing data visualizations,488
Senior Data Visualization Engineer,Engineer,30–39 hours,None,None,5 hours or less,5 hours or less,More than 30 hours,Engineering requirements for a dashboard tool.,489
Statistician,Analyst,50–59 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,5 hours or less,Engaging with clients - receiving feedback on early prototypes,490
Analytics manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,,,,,21–30 hours,Enabling power bi for our organization,491
Enablement Consultant,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,Enabling and teaching users how to use data viz tools and apply best practices.,492
Global Experience Practice Lead,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Embedding,493
Head & Co-Founder,"Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,Emails and meetings,494
Data Analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,Education/training around data visualization/dashboard to end users/stakeholders,495
Information Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,6–10 hours,"education for other staff, data entry",496
director,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,education and training for others,497
Higher Education Data Analyst,Analyst,40–49 hours,21–30 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Educating others,498
Data Visualization Specialist,Designer,30–39 hours,5 hours or less,5 hours or less,,11–20 hours,5 hours or less,Educating colleagues on data viz best practices,499
Director of Graphics and Data Visuals,Journalist,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,6–10 hours,Editing others’ work,500
Senior Editor of Data Visualization,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,11–20 hours,"Editing data visualization, vetting pitches, people management",501
Data and Systems Strategist,Developer,30–39 hours,11–20 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,editing and workshopping visualizations and constructing narrative presentations using visualizations,502
project manager,Teacher,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,dry run and final presentation,503
INFORMATION DESIGNER,Designer,50–59 hours,5 hours or less,5 hours or less,None,21–30 hours,More than 30 hours,drawing; research,504
Outreach Specialist,Designer,Fewer than 20 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,Doing fact-checking by calling venues mentioned in the data to confirm or update what they previously said.,505
Tableau Consultant,Analyst,40–49 hours,5 hours or less,11–20 hours,5 hours or less,11–20 hours,5 hours or less,documents,506
Data Visualisation Consultant,Developer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,Documenting; Meetings,507
Associate Professor of Nursing,Academic/Teacher,50–59 hours,None,None,6–10 hours,None,5 hours or less,"Documenting design process, characterizing the problem and the audience, meeting with collaborators",508
Data Scientist,Developer,40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Documenting data viz code and making it reusable,509
Graduate Student,Student,60–69 hours,11–20 hours,5 hours or less,6–10 hours,6–10 hours,11–20 hours,"Documentation, writing, data abstraction",510
Analytic Consultant,Developer,20–29 hours,6–10 hours,11–20 hours,6–10 hours,21–30 hours,6–10 hours,"Documentation, data flow diagrams",511
"Manager, Data Visualization and Analytics","Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,6–10 hours,5 hours or less,11–20 hours,"Documentation, creating 'how to use' overlays, etc.",512
Analytics Manager,Analyst,Fewer than 20 hours,None,None,6–10 hours,None,5 hours or less,"Documentation, administrative tasks",513
Creative Director,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,6–10 hours,Documentation / writing,514
Voice of Customer Data Analyst,Analyst,50–59 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,Documentation / Project Management,515
Data Visualization Specialist,Developer,50–59 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,Documentation,516
"VP, Software Engineering","Leadership (Manager, Director, VP, etc.)",60–69 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,More than 30 hours,Distributing Data Visualization Software,517
Senior Vice President,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,None,5 hours or less,None,5 hours or less,Discussions on strategy,518
Data & Systems Analyst,Analyst,Fewer than 20 hours,None,None,5 hours or less,5 hours or less,5 hours or less,Discussions - meetings,519
academic curriculum development manager,Academic/Teacher,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Discussing/creating content on teaching best viz practices,520
User Data Expert,Designer,40–49 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Discussing user experience around viz,521
Corporate Analyst,Analyst,40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,5 hours or less,discussing Use Cases with business,522
Data visualisation manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,11–20 hours,11–20 hours,5 hours or less,11–20 hours,5 hours or less,"Discussing the visuals with the team, learning",523
Professor,Academic/Teacher,50–59 hours,5 hours or less,11–20 hours,6–10 hours,6–10 hours,5 hours or less,Discussing and communicating results,524
Data Scientist,Scientist,40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,Discuss with stakeholders,525
Assistant professor,Academic/Teacher,Fewer than 20 hours,None,None,None,None,More than 30 hours,Discover hidden elements presents in a Dataviz,526
Full-Stack Developer,Developer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,11–20 hours,Development not specifically tied to visuals,527
Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,Developing/maintaining Tableau dashboards,528
Senior Association,Analyst,40–49 hours,5 hours or less,11–20 hours,5 hours or less,6–10 hours,6–10 hours,Developing user friendly data-input forms,529
Sr Proposal Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,None,5 hours or less,Developing presentation slides,530
CTO,,50–59 hours,None,None,None,6–10 hours,More than 30 hours,Developing data visualization tool,531
Managing Partner,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,5 hours or less,None,5 hours or less,Developing content & methods for data visualization trainings,532
Application Analyst,Developer,40–49 hours,None,None,None,5 hours or less,5 hours or less,developing a tutorial for students,533
Associate Graphic Designer,Designer,40–49 hours,5 hours or less,None,None,5 hours or less,11–20 hours,Developing a data viz best practice guide for my organization,534
independent investigator,Teacher,30–39 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,develop a data visualization workshop,535
Designer,Designer,30–39 hours,None,None,None,6–10 hours,5 hours or less,Designing visualizations,536
Project Manager,"Leadership (Manager, Director, VP, etc.)",Fewer than 20 hours,21–30 hours,21–30 hours,5 hours or less,6–10 hours,5 hours or less,designing report layouts.,537
Sr. Interaction Designer,Designer,40–49 hours,None,None,6–10 hours,6–10 hours,11–20 hours,Designing interfaces for data visualization and analysis,538
Digital designer / Visual storyteller,Designer,30–39 hours,None,None,11–20 hours,11–20 hours,11–20 hours,Designing and writing a data viz style guide,539
Visual journalist,Journalist,40–49 hours,5 hours or less,None,6–10 hours,21–30 hours,5 hours or less,Designing - art direction and wireframing,540
UX Lead and data visualization designer,Designer,Fewer than 20 hours,6–10 hours,5 hours or less,,11–20 hours,21–30 hours,"Design, evaluation",541
Senior Data Visualization Designer,Designer,30–39 hours,None,5 hours or less,11–20 hours,6–10 hours,11–20 hours,Design Systems for Data Visualization & UI,542
VP of Solutions,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,5 hours or less,Design sessions,543
Professor of Biostatistics & Epidemiology,Academic/Teacher,50–59 hours,5 hours or less,11–20 hours,None,5 hours or less,5 hours or less,describing visualizations,544
Frontend developer,,30–39 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,5 hours or less,"Deployment on a server, scripts to re-generate data",545
PhD Candidate,Student,50–59 hours,5 hours or less,5 hours or less,,11–20 hours,6–10 hours,Deployment,546
Reader in Economic Analytics,Academic/Teacher,30–39 hours,11–20 hours,11–20 hours,None,5 hours or less,5 hours or less,Deploying apps to web servers,547
Data visualisation specialist,Designer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,Delivering training,548
Freelance analytics consultant,Analyst,30–39 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,6–10 hours,Delivering a workshop,549
director,,40–49 hours,None,5 hours or less,None,None,11–20 hours,defining requirements and metrics first (then reviewing the viz produced by team),550
Student,Student,Fewer than 20 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,Deciding which data to use and why,551
Workforce Forecasting Analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,Debugging data and models,552
Data journalist,Journalist,20–29 hours,5 hours or less,6–10 hours,11–20 hours,5 hours or less,5 hours or less,Database sourcing,553
Director of Design,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,None,5 hours or less,5 hours or less,5 hours or less,data viz strategy,554
"Senior Program Officer, Evaluation and Learning","Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,6–10 hours,6–10 hours,11–20 hours,6–10 hours,"Data viz requirements development, stakeholder buy in",555
Law Librarian,Analyst,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,"Data visualization tasks depend on the projects I am completing. Some weeks, it is a lot more hours than others.",556
Data Visualization Engineer,Designer,30–39 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,5 hours or less,Data visualization style guide,557
,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,5 hours or less,None,6–10 hours,data visualization evangelism; data visualization education,558
Analytic Consultant,Developer,50–59 hours,5 hours or less,11–20 hours,5 hours or less,21–30 hours,21–30 hours,Data validation and QA,559
,Analyst,40–49 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Data validation,560
Business analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,None,5 hours or less,5 hours or less,Data User group meeting prep/facilitation,561
Solutions Architect,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,None,data strategy work to identify how dashboards/visualizations/reports may be used at an organization with their data,562
Data storyteller and project manager,,50–59 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,11–20 hours,data storytelling project management,563
Data journalist and researcher,None of these describes my role,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Data sonification,564
Manager (data) hub implementation,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,None,None,5 hours or less,Data requirements for data viz; reviewing demos created by my team; planning,565
Senior Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,21–30 hours,11–20 hours,6–10 hours,21–30 hours,More than 30 hours,Data preparation,566
BI engineer,Engineer,40–49 hours,11–20 hours,11–20 hours,None,6–10 hours,6–10 hours,Data pipeline,567
Health and Nutrition officer,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,None,None,None,5 hours or less,Data of children and mothers covered by mobile health teams,568
Process Manager Training Governance,,40–49 hours,5 hours or less,11–20 hours,6–10 hours,5 hours or less,None,Data Modeling,569
UI and Data Visualization Engineer,Engineer,30–39 hours,5 hours or less,None,6–10 hours,5 hours or less,5 hours or less,Data modeling,570
Chief Digital Officer,,40–49 hours,None,None,5 hours or less,5 hours or less,5 hours or less,Data Mindset for colleagues,571
Data Analyst,Analyst,Fewer than 20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,21–30 hours,Data Gathering & Consolidation,572
,Journalist,60–69 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Data gathering,573
,Analyst,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Data exploration,574
Employee,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Data entry, Classification",575
Analytics Engineer,Engineer,40–49 hours,5 hours or less,5 hours or less,None,11–20 hours,11–20 hours,Data engineering,576
Research Assistant,Scientist,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,"Data dictionary, etc.",577
"Manager, Analytics Engineering","Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,5 hours or less,5 hours or less,None,6–10 hours,"Data Definitions, Metric Buy In and Requirements Gathering",578
Lead Scientist,Scientist,40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,Data collection; modeling to ensure that proposed visualizations will have desired properties under different conditions,579
Data manager and UX/UI consultant,Analyst,40–49 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,"Data collection, contextual research",580
Program Manager,Developer,50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Data collection,581
Data Engineer,Engineer,30–39 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,data collection,582
,Developer,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,data collection,583
Evaluator,None of these describes my role,20–29 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,data collection,584
Business Analyst,Analyst,50–59 hours,,,6–10 hours,21–30 hours,11–20 hours,data collecting,585
Graphic designer,Designer,20–29 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,Data cleaning,586
Database Analyst,Developer,40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Data automation,587
Producer,None of these describes my role,30–39 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,"Data analytics, GIS",588
Trainee Consultant Analyst,Analyst,30–39 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,5 hours or less,Data analysis via visualization,589
,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,Dashboards,590
CFO,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,21–30 hours,5 hours or less,5 hours or less,Dashboards,591
Cofounder and COO,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Dashboarding,592
Data visualization specialist,Designer,50–59 hours,None,5 hours or less,5 hours or less,6–10 hours,6–10 hours,"Dashboard refactoring, web deployment, QAs",593
Education consultant,Teacher,40–49 hours,6–10 hours,6–10 hours,6–10 hours,11–20 hours,6–10 hours,Customer Updates,594
Research Manager,Analyst,40–49 hours,None,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Curating video clips,595
Experience designer,Designer,70 or more hours,More than 30 hours,21–30 hours,11–20 hours,21–30 hours,6–10 hours,"curating social media frames, presenting",596
Assistant Professor,Academic/Teacher,20–29 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Critiquing others' visualizations,597
Graphics Editor,Cartographer,50–59 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,6–10 hours,Critique of colleague's work. Corresponding with data sources.,598
Head of Data Insights,Analyst,30–39 hours,6–10 hours,6–10 hours,None,6–10 hours,5 hours or less,"Creating visual content for meetings e.g. presenting strategy to the board, writing technical guidance",599
Manager,Developer,40–49 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,11–20 hours,"Creating software pipelines/IT infrastructure to support data prep, analysis and viz",600
Data Visualization Designer,Designer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,"Creating slide decks to communicate visualization work, presenting visualizations in meetings, research",601
Senior Data Analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,"creating site that displays visualization, working to get visuals updated on website, reviewing visual usage data, sharing/resharing on social media",602
Data Visualization Artist in Residence,Engineer,30–39 hours,6–10 hours,5 hours or less,None,11–20 hours,5 hours or less,Creating presentations/decks,603
Senior Staff Software Engineer,Engineer,30–39 hours,None,None,None,None,More than 30 hours,Creating library for creating visualizations,604
Business analytics and research manager,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,creating interactive reporting,605
Librarian,Academic/Teacher,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,Creating instructional content for data visualization workshops and consultations,606
Visual Communications Specialist,Designer,30–39 hours,5 hours or less,None,5 hours or less,5 hours or less,5 hours or less,Creating infographics,607
Senior Product Designer,Designer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"creating functions and docs about them, that our devs can use",608
Software Developer,Developer,40–49 hours,6–10 hours,None,5 hours or less,11–20 hours,5 hours or less,"Creating documentation, PR reviews",609
UX Designer,Designer,30–39 hours,None,None,5 hours or less,21–30 hours,5 hours or less,Creating design guidelines,610
Data Engineer,Developer,40–49 hours,5 hours or less,6–10 hours,,11–20 hours,11–20 hours,Creating data visualization in web application,611
Data Visualization Designer,Designer,40–49 hours,None,None,6–10 hours,21–30 hours,5 hours or less,Creating Data Visualization Design System,612
Business Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,11–20 hours,6–10 hours,5 hours or less,creating data pipelines,613
Safety Data and IT Specialist,None of these describes my role,30–39 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,"Creating communications and distributing visualisations, training in New software",614
,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,Creating and facilitating data visualization training,615
Sr. Data Scientist,Scientist,40–49 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,creating alternate adaptive visualizations for visually impaired people.,616
Assistant Vice President,"Leadership (Manager, Director, VP, etc.)",20–29 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Creating a deck and presenting to the team,617
Associate professor,Academic/Teacher,30–39 hours,None,None,None,None,6–10 hours,Create a web to create dataviz,618
Consultor,Designer,30–39 hours,5 hours or less,None,None,More than 30 hours,More than 30 hours,crating de user interface and experience,619
Visualization Specialist/Librarian,Academic/Teacher,50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,"course creation, reading theoretical works for background",620
Test Manager,,30–39 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,Coordination of work,621
Health Scientist (informatics),"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,None,5 hours or less,5 hours or less,coordinating a workgroup for data visualization professionals,622
Data Graphics Designer,Designer,30–39 hours,5 hours or less,None,5 hours or less,6–10 hours,11–20 hours,"Coordinating / managing dataviz projects (commissioning freelancers, discussing projects, etc).",623
Analyst,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,6–10 hours,21–30 hours,5 hours or less,21–30 hours,Coordinate a team,624
Head of Design Strategy,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,11–20 hours,5 hours or less,6–10 hours,"convincing stakeholders, testing tools, ...",625
Digital Content Producer,Designer,Fewer than 20 hours,None,None,5 hours or less,5 hours or less,5 hours or less,Conversing with stakeholders,626
Data Visualization Intern,Analyst,60–69 hours,6–10 hours,5 hours or less,11–20 hours,5 hours or less,More than 30 hours,Contributing to data visualization standards at the organization,627
Academic [Full] Time,Academic/Teacher,Fewer than 20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,Context search,628
Feature journalist,Journalist,30–39 hours,11–20 hours,,5 hours or less,11–20 hours,5 hours or less,"contacting a data source, dealing with the contract, writing the article, publishing",629
Commercial Director,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,11–20 hours,consulting with clients about their visualization requirements,630
Data Visualisation Designer,Designer,30–39 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,"Consultation, Presentations, documentation, mentoring",631
Visualization Scientist,Scientist,40–49 hours,6–10 hours,,,6–10 hours,6–10 hours,consultation with client,632
Data Consultant,Analyst,Fewer than 20 hours,None,5 hours or less,,5 hours or less,5 hours or less,Connecting with program staff to get to know the dat from their perspective and find out which analytic questions are important to them.,633
DBA | Information Architect,"Leadership (Manager, Director, VP, etc.)",20–29 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,Connecting with people about the data.,634
senior software analyst,None of these describes my role,40–49 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,connecting to databases / underlying infrastructure,635
Data Analyst,,40–49 hours,11–20 hours,5 hours or less,None,None,11–20 hours,Configuration of SharePoint lists and importation in power er bi,636
Data Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,None,None,More than 30 hours,Configuration of SharePoint lists and importation in power er bi,637
Principal Analyst,Journalist,40–49 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,Conducting meetings,638
Senior Regulatory Auditor,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Compiling into report/presentation,639
,Analyst,40–49 hours,None,6–10 hours,,21–30 hours,5 hours or less,Compiling into a presentation,640
Designer,Designer,Fewer than 20 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,Communication with stakeholders,641
self-employed,"Leadership (Manager, Director, VP, etc.)",Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,communication with analyst,642
Director of Solutions,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,11–20 hours,"Communication and documentation of missing data, data quality issues, and potential data for use",643
Machine Learning Specialist,,Fewer than 20 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,Communication,644
Journalist (reporter and editor),Journalist,50–59 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,5 hours or less,Communicating with people about a visualization so that it will display and be understood and usable,645
Data scientist,Scientist,30–39 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,Communicating about it with the data owners or target audience,646
Professor,Academic/Teacher,50–59 hours,None,None,None,None,None,Communicating / teaching about how to do data visualization,647
COLOR MAVEN,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,COLORIZING,648
Graphic Designer,,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,collecting inspiration,649
Research Services Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Collecting data.,650
PhD Student,Academic/Teacher,40–49 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,5 hours or less,Collecting data,651
Data Analyst/BI Developer,Developer,20–29 hours,6–10 hours,None,None,21–30 hours,5 hours or less,Collahorating and Understand user requirements,652
Data Analyst/Technical Project Manager,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Collaboratively defining business logic and key reporting concepts with stakeholders,653
designer,Designer,30–39 hours,5 hours or less,None,6–10 hours,6–10 hours,5 hours or less,coding prototypes,654
Data scientist,Scientist,70 or more hours,5 hours or less,More than 30 hours,5 hours or less,5 hours or less,21–30 hours,Coding in python,655
,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,6–10 hours,None,5 hours or less,5 hours or less,coding -sql,656
Data consultant,Analyst,50–59 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Code documentation.,657
Data Analyst,Analyst,50–59 hours,11–20 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,Code development for analysis,658
,Developer,40–49 hours,5 hours or less,5 hours or less,None,,5 hours or less,code development,659
Senior Visualization Engineer,Engineer,40–49 hours,None,None,6–10 hours,5 hours or less,5 hours or less,Code Architecture,660
Analytics Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,None,None,5 hours or less,Coaching my team of analysts on data visualtions,661
Augmented Insights Manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,More than 30 hours,"Client management, contracts, finances, coaching and team management",662
Business Intelligence Manager,,40–49 hours,11–20 hours,6–10 hours,,6–10 hours,6–10 hours,Client input,663
Assistant Director,Analyst,40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,11–20 hours,Class content development,664
information designer,Designer,30–39 hours,None,None,None,6–10 hours,6–10 hours,"Checking results, Layout of Book",665
Research Officer,,40–49 hours,5 hours or less,6–10 hours,6–10 hours,11–20 hours,5 hours or less,Checking,666
Sociologist,Analyst,50–59 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Changes on the final report due to client comments,667
"Technical Manager, Business Intelligence",Developer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,"Center of Excellence, Consulting",668
Financial Analyst,,Fewer than 20 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,categorizing data,669
President,,70 or more hours,,5 hours or less,5 hours or less,,More than 30 hours,Business Planning,670
Business Intelligence Engineer,Engineer,30–39 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,business analysis with customers,671
Chief Visualization Officer,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Building UI for dataviz applications,672
Analytics Engineer,Developer,40–49 hours,,,,,More than 30 hours,Building the user interface for our data visualization tools,673
Principal Consultant,Developer,40–49 hours,6–10 hours,5 hours or less,None,11–20 hours,5 hours or less,Building attractive and useful dashboards,674
Graphics Developer,Journalist,40–49 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,Build system / infrastructure improvements,675
Visual Analyst and Developer,Developer,50–59 hours,None,More than 30 hours,6–10 hours,5 hours or less,More than 30 hours,"Bug fixing, code reviewing, replicate programming",676
Independent Data Visualization Designer,Designer,Fewer than 20 hours,None,5 hours or less,5 hours or less,11–20 hours,More than 30 hours,"Broader domain research, understanding the topic",677
